FL_DATE,AIRLINE,FL_NUMBER,ORIGIN,DEST,CRS_DEP_TIME,Optimized_CRS_DEP_TIME
2023-08-31,Alaska Airlines Inc.,71,SEA,JNU,1900,2132
2023-08-31,Southwest Airlines Co.,1017,MCI,LGA,1605,1627
2023-08-31,American Airlines Inc.,2202,CLT,FLL,2130,2220
2023-08-31,SkyWest Airlines Inc.,3226,HPN,ORD,1630,1703
2023-08-31,American Airlines Inc.,2096,BOS,PHL,649,510
2023-08-31,Spirit Air Lines,1895,FLL,BWI,2120,2007
2023-08-31,Southwest Airlines Co.,4551,HOU,SAT,1755,1649
2023-08-31,Southwest Airlines Co.,512,DAL,ATL,2140,2030
2023-08-31,United Air Lines Inc.,1449,SFO,DEN,2027,1858
2023-08-31,JetBlue Airways,1453,FLL,SJU,1725,1545
2023-08-31,Southwest Airlines Co.,1184,HOU,STL,1855,1752
2023-08-31,Delta Air Lines Inc.,425,SEA,ANC,2003,2114
2023-08-31,JetBlue Airways,1118,JFK,BOS,1659,1624
2023-08-31,Frontier Airlines Inc.,2667,SJU,MCO,258,351
2023-08-31,Delta Air Lines Inc.,1498,BOS,MCO,1259,1353
2023-08-31,Southwest Airlines Co.,2884,DEN,TUL,1545,1503
2023-08-31,Southwest Airlines Co.,332,SAN,LAS,1825,1857
2023-08-31,Frontier Airlines Inc.,4894,SJU,STT,1106,1004
2023-08-31,Frontier Airlines Inc.,2129,LAS,SAN,1057,851
2023-08-31,Envoy Air,3816,HRL,DFW,2001,2133
2023-08-31,Frontier Airlines Inc.,2006,LAS,AUS,620,500
2023-08-31,Delta Air Lines Inc.,2558,SEA,SAN,745,718
2023-08-31,Southwest Airlines Co.,5155,DAL,MSY,1155,1238
2023-08-31,American Airlines Inc.,2148,DCA,BOS,1800,1809
2023-08-31,Southwest Airlines Co.,687,LAS,DEN,2230,2359
2023-08-31,Southwest Airlines Co.,2205,SNA,LAS,1850,1906
2023-08-31,Spirit Air Lines,1878,MCO,AUS,1039,1115
2023-08-31,Spirit Air Lines,1166,BOS,CLT,1850,1732
2023-08-31,American Airlines Inc.,806,CLT,BOS,1459,1410
2023-08-31,Southwest Airlines Co.,1222,SJC,PHX,2225,2219
2023-08-31,Delta Air Lines Inc.,1468,MIA,DTW,1227,1104
2023-08-31,Southwest Airlines Co.,2820,BWI,RDU,1525,1503
2023-08-31,Spirit Air Lines,1272,LAS,IAH,1240,1505
2023-08-31,Spirit Air Lines,169,MSP,LAS,2230,2225
2023-08-31,SkyWest Airlines Inc.,4833,LFT,DFW,1959,1921
2023-08-31,American Airlines Inc.,508,DFW,FAT,1745,1706
2023-08-31,Southwest Airlines Co.,942,LAS,SFO,1735,1719
2023-08-31,SkyWest Airlines Inc.,4791,SFO,RDD,1851,2048
2023-08-31,American Airlines Inc.,1425,DFW,BDL,1911,1810
2023-08-31,Delta Air Lines Inc.,1368,JFK,MIA,1100,1006
2023-08-31,United Air Lines Inc.,280,DEN,ANC,1902,1843
2023-08-31,Southwest Airlines Co.,4151,ATL,IND,1940,2131
2023-08-31,Southwest Airlines Co.,947,BWI,CLE,1430,1152
2023-08-31,SkyWest Airlines Inc.,3125,PHX,RDM,2035,2101
2023-08-31,Spirit Air Lines,99,ATL,EWR,1806,1739
2023-08-31,Alaska Airlines Inc.,1122,PDX,SAN,2130,2130
2023-08-31,United Air Lines Inc.,2371,DEN,SYR,1749,1615
2023-08-31,Spirit Air Lines,1198,MCO,MCI,1932,1908
2023-08-31,Alaska Airlines Inc.,1150,BUR,SEA,1605,1826
2023-08-31,Delta Air Lines Inc.,1445,PHX,DTW,2259,2359
2023-08-31,Delta Air Lines Inc.,2708,PIT,ATL,1839,1800
2023-08-31,American Airlines Inc.,1164,CLT,GSP,1626,1534
2023-08-31,Delta Air Lines Inc.,1349,DEN,MSP,610,737
2023-08-31,Delta Air Lines Inc.,2289,SLC,SAN,800,653
2023-08-31,Frontier Airlines Inc.,2426,SAN,CLE,1031,1222
2023-08-31,Southwest Airlines Co.,2416,LAX,DAL,1745,1914
2023-08-31,Frontier Airlines Inc.,2186,ONT,LAS,1924,1835
2023-08-31,JetBlue Airways,2194,MCO,EWR,2150,2324
2023-08-31,American Airlines Inc.,1763,RDU,MIA,1634,1525
2023-08-31,Delta Air Lines Inc.,1602,MIA,JFK,1948,1749
2023-08-31,Southwest Airlines Co.,1002,SNA,LAS,1745,1827
2023-08-31,Southwest Airlines Co.,2243,LAX,PHX,2155,2112
2023-08-31,Southwest Airlines Co.,3074,BWI,HOU,1810,1720
2023-08-31,United Air Lines Inc.,1753,DEN,PIT,1019,1123
2023-08-31,Spirit Air Lines,1167,CLT,BOS,2220,2359
2023-08-31,Southwest Airlines Co.,169,STL,LAS,2125,2034
2023-08-31,PSA Airlines Inc.,5081,DCA,BTV,1009,1022
2023-08-31,Southwest Airlines Co.,2564,ATL,MCO,2200,2336
2023-08-31,Republic Airline,5669,MKE,BOS,1028,1129
2023-08-31,Spirit Air Lines,1911,DFW,FLL,728,603
2023-08-31,Southwest Airlines Co.,503,DEN,SMF,1530,1358
2023-08-31,PSA Airlines Inc.,5477,DCA,BUF,1024,943
2023-08-31,Southwest Airlines Co.,324,BWI,BOS,2225,2118
2023-08-31,Alaska Airlines Inc.,206,JNU,SEA,1255,1422
2023-08-31,Southwest Airlines Co.,3945,RDU,BWI,1325,1414
2023-08-31,Delta Air Lines Inc.,1137,ATL,BNA,1538,1531
2023-08-31,Delta Air Lines Inc.,1426,MSP,MCO,1950,1748
2023-08-31,Allegiant Air,21,LRD,LAS,2224,2213
2023-08-31,Spirit Air Lines,1042,SJU,MCO,2115,2201
